StockNumber,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
SPY3522,29/12/2023,469.044336,469.5759064,465.9041807,467.882782,122234100,0,0,0
PG3522,29/12/2023,141.5901779,142.5211883,141.3283289,142.1138611,5300900,0,0,
JNJ3522,29/12/2023,150.5023897,150.8774191,149.9927348,150.7235718,4311100,0,0,
SPY3521,28/12/2023,469.4282444,470.0877581,468.8179374,469.2412109,77158100,0,0,0
PG3521,28/12/2023,141.5901723,141.599865,140.659162,141.3283234,5023000,0,0,
JNJ3521,28/12/2023,150.0119636,151.2043717,150.0023527,150.5697021,4377500,0,0,
SPY3520,27/12/2023,468.0107386,469.211676,467.4693449,469.0640259,68000300,0,0,0
PG3520,27/12/2023,141.2507414,141.8908101,140.9695072,141.6483612,4569400,0,0,
JNJ3520,27/12/2023,149.5311473,150.5119988,149.4542163,150.348526,5288100,0,0,
SPY3519,26/12/2023,466.6621706,469.1329288,466.5834039,468.2174683,55387000,0,0,0
PG3519,26/12/2023,140.7076654,141.7550466,140.5912946,141.5319977,3634900,0,0,
JNJ3519,26/12/2023,149.0503505,150.3485368,148.9061141,150.1465912,4170000,0,0,
SPY3518,22/12/2023,466.4554284,467.951696,464.3292071,466.2487183,67126600,0,0,0
PG3518,22/12/2023,140.1354825,141.2313564,139.9318189,140.891922,4412800,0,0,
JNJ3518,22/12/2023,149.2907606,150.5216269,149.0695933,149.4927063,3798500,0,0,
SPY3517,21/12/2023,463.9649506,465.5891916,461.5138691,465.3135681,86667500,0,0,0
PG3517,21/12/2023,140.1548969,140.4167311,138.8068813,139.9027405,6104700,0,0,
JNJ3517,21/12/2023,147.7906177,149.1753457,147.4155884,148.8964691,4598600,0,0,
SPY3516,20/12/2023,466.5538762,468.4635641,460.5098357,460.9429626,102921000,0,0,0
PG3516,20/12/2023,141.1731886,141.6580866,139.4954312,139.563324,7663800,0,0,
JNJ3516,20/12/2023,150.5312356,150.6466394,147.2329026,147.3867645,7008300,0,0,
SPY3515,19/12/2023,465.146234,467.4989022,465.0674973,467.4201355,55761800,0,0,0
PG3515,19/12/2023,141.2701376,141.9198989,140.9985959,141.7550354,5233600,0,0,
JNJ3515,19/12/2023,149.3388381,150.4927733,148.992656,150.4543152,6651500,0,0,
SPY3514,18/12/2023,463.6204501,465.589198,462.5474861,464.5949707,70375300,0,0,0
PG3514,18/12/2023,139.815444,143.0351728,139.7960439,141.7550354,8421800,0,0,
JNJ3514,18/12/2023,149.2522823,150.4350648,148.8195438,149.4734497,7231400,0,0,
SPY3513,15/12/2023,462.1536887,463.3448028,460.1258809,461.9961853,141319300,2,0,0
PG3513,15/12/2023,138.8553469,139.8930354,138.1958929,139.6118011,14549700,0,0,
JNJ3513,15/12/2023,149.5215584,150.6754938,147.8579535,149.2042236,21712500,0,0,
SPY3512,14/12/2023,463.2385647,464.4444663,460.0522677,462.7581787,119026000,0,0,0
PG3512,14/12/2023,143.9758604,144.0631384,140.0190926,140.2906342,10565200,0,0,
JNJ3512,14/12/2023,150.4639163,151.1274331,149.0984247,150.8485565,9240700,0,0,
SPY3511,13/12/2023,455.3855629,461.5326843,455.02282,461.277771,93278000,0,0,0
PG3511,13/12/2023,141.454424,144.1601479,141.0568041,144.0922699,9055500,0,0,
JNJ3511,13/12/2023,147.7617675,149.9542486,145.9443157,149.8099976,10764600,0,0,
SPY3510,12/12/2023,452.5816175,455.1012502,451.5718077,455.0032043,68327600,0,0,0
PG3510,12/12/2023,141.4544122,141.8132319,140.6979727,141.5319977,6069200,0,0,
JNJ3510,12/12/2023,149.0503557,149.3580796,147.7521693,149.1176758,5324400,0,0,
SPY3509,11/12/2023,450.6796036,453.1110038,450.4639147,452.9345093,65002200,0,0,0
PG3509,11/12/2023,140.4264231,141.4640968,140.2809449,141.4156189,8471200,0,0,
JNJ3509,11/12/2023,148.5695453,149.5119241,148.4253089,149.1080475,6090400,0,0,
SPY3508,08/12/2023,448.4933432,451.7188645,448.2482435,451.179657,83080900,0,0,0
PG3508,08/12/2023,141.5126008,141.8229425,140.1548926,140.7658539,6384000,0,0,
JNJ3508,08/12/2023,149.4542146,149.8677167,147.934861,148.4925995,6253700,0,0,
SPY3507,07/12/2023,447.9540962,449.9050805,447.3462536,449.24823,66995400,0,0,0
PG3507,07/12/2023,142.1429813,142.6569719,141.6095906,142.0750885,6119600,0,0,
JNJ3507,07/12/2023,150.5697111,150.5697111,148.7714954,149.4349976,6532400,0,0,
SPY3506,06/12/2023,449.8169179,449.8463287,445.4051219,445.8463135,69124700,0,0,0
PG3506,06/12/2023,142.5696623,142.7151406,141.2410469,142.2205353,7610000,0,0,
JNJ3506,06/12/2023,152.4352318,152.5698573,150.1754304,150.6081543,6642900,0,0,
SPY3505,05/12/2023,446.336446,448.6207624,445.954076,447.650177,69793500,0,0,0
PG3505,05/12/2023,147.5447466,148.0005519,141.7647566,142.32724,11895800,0,0,
JNJ3505,05/12/2023,152.7044846,153.5026269,152.1467461,152.4640808,7268200,0,0,
SPY3504,04/12/2023,446.6698025,450.1207963,445.4344901,447.7384338,72430900,0,0,0
PG3504,04/12/2023,147.1859136,147.922953,147.0792354,147.4671478,6578300,0,0,
JNJ3504,04/12/2023,151.9351918,153.8776585,151.9351918,152.7814178,8920300,0,0,
SPY3503,01/12/2023,446.8364508,450.6404038,446.2384218,450.1011963,89097900,0,0,0
PG3503,01/12/2023,148.6987879,148.8539588,147.6320066,148.0490265,5684600,0,0,
JNJ3503,01/12/2023,150.4350776,152.3775444,149.5023098,152.3006134,10342500,0,0,
SPY3502,30/11/2023,446.5521817,447.8070913,444.4541133,447.4541321,79752700,0,0,0
PG3502,30/11/2023,146.3421816,148.9897348,145.5469567,148.8830566,9771300,0,0,
JNJ3502,30/11/2023,146.4155338,149.1849904,146.0885881,148.7234192,12481900,0,0,
SPY3501,29/11/2023,448.1894101,449.3364902,445.297251,445.6991882,63146000,0,0,0
PG3501,29/11/2023,147.6901831,147.845354,146.4294605,146.5652313,5342700,0,0,
JNJ3501,29/11/2023,145.5212122,146.3578126,145.2711975,146.2712708,5190000,0,0,
SPY3500,28/11/2023,445.1795638,447.32664,444.6109455,446.0129089,62115000,0,0,0
PG3500,28/11/2023,146.584619,148.1556982,146.584619,147.6901855,6110400,0,0,
JNJ3500,28/11/2023,145.5885256,145.9827913,145.0500235,145.8097076,5909000,0,0,
SPY3499,27/11/2023,445.7383674,446.5618989,445.1795328,445.5717163,50506000,0,0,0
PG3499,27/11/2023,146.9434624,147.0598332,146.1870229,146.6719208,6021300,0,0,
JNJ3499,27/11/2023,146.4443706,146.4732325,145.1750462,145.4731445,6449700,0,0,
SPY3498,24/11/2023,446.1501683,446.5717326,445.8168362,446.3756409,29737400,0,0,0
